VictimName,Country,Event,Date,Type,EventDescription,PersonDescription,EventCount,Kind,Astronaut,Source,Source2,Source3,
several Madagascar hissing cockroaches,USA,Genesis II,28 June 2007,Madagascar hissing cockroach,"Like its predecessor, Bigelow Aerospace's Genesis II inflatable space station module was launched atop a Dnepr rocket from the Dombarovsky military airbase in Russia.  Its avionics were rated for six months but lasted for 2.5 years, also like its predecessor.  The module's arthropod passengers died before launch when it was stored during during schedule delays in Russia.  The module's 'Life in a Box' experiment (also called 'Biobox') had automated food and water dispensers for South African flat rock scorpions, Madagascar hissing cockroaches, and a colony of red harvester ants.  ",,1.1,bug,,,,,
a few thousand water bears,Israel,Beresheet,11 April 2019,tardigrade,"The Beresheet (Hebrew: בְּרֵאשִׁית) lunar lander, made by SpaceIL, was launched on 22 February 2019 atop a Falcon 9 Block 5 rocket from Space Launch Complex 40 at Cape Caneveral.  Along with a time capsule, magnetometer, and laser retroreflector, the lander included 'a few thousand' water bears (tardigrades) that were added last-minute.  Most were sprinkled onto tape attached to the time capsule and others were tucked into epoxy resin between the time capsule's layers.  Despite being in a durable cryptobiotic state, the water bears all likely died when the lander impacted the Moon at 3,000 km per hour after its engine failed to fire.",,1.1,bug,,,,,
Mia,USA,Thor-Able 116,23 April 1958,mouse,"The first launch of a Thor IRBM (intermediate range ballistic missile) with a second stage Able rocket above it, Thor-Able 116 carried a mouse named Mia for Project MIA (Mouse-in-Able).  The project was directed by Franki Van der Wal of Space Technology Laboratories of Los Angeles (partnered with the US Air Force Ballistic Missile Division).  After taking off from Launch Complex 17A at Cape Canaveral, the rocket exploded 136 seconds into flight and the nosecone (containing Mia) was lost at sea.","Mia the mouse (also nicknamed Minnie) was presumably named after the acronym MIA for Project Mouse-in-Able.  Unlike her successors, Mia was not connected to instruments to monitor her vitals in flight as payload telemetry was unavailable for use during the Thor-Able rocket's first flight for some reason.||She was restrained within a cradle on bearings that automatically rotated to have the best orientation to resist the rocket's accelration.  The base of her cradle was filled with water that she could drink through a wick.  There was cotton wadding beneath the cradle to collect her urine for later analysis.  The cradle was fit into a tube connected to a silica gel canister for absorbing the moisture from her breath and a ventilation system that supplied oxygen whlie removing carbon dioxide.  The overall assembly was dubbed 'Mouse House'.||The first-stage turbo-pump of Mia's rocket failed in flight, causing the rocket to explode and sending the nosecone, where Mia's capsule was located, into the ocean.  She was lost at sea.",1,mouse,,https://x.com/spacecentre/status/1247902016552046594,,,
Laska,USA,Thor-Able 118,9 July 1958,mouse,"The second launch for Project Mouse-in-Able, Thor-Able 118, had a successful flight and carried Laska the mouse to an apogee of about 970 km before the nosecone containing her splashed down.  Recovery crews were unable to find the nosecone, which was declared lost at sea.","Laska the mouse (also nicknamed Mia-II) had two electrodes implanted in her fascia to measure her heartrate during flight:  'one connected ventrally to the right pectoral muscle, the other inserted diagonally across the heart, just below to and to the left of the rib cage'.  Laska was restrained within an equivalent 'Mouse House' life support system as during the first Project MIA flight.  Laska's rocket performed nominally and transmitted her heartrate throughout the flight.  It rose sharply at liftoff, decreased gradually after first stage burnout, rose again at second stage ignition, and gradually fell again.||Laska survived her return from apogee and splashdown, but recover crews were unable to locate the nosecone containing her and she was lost at sea.||The included photo may be of Laska or her successor Wickie (or possibly an unselected candidate mouse).",1,mouse,,https://doi.org/10.2514/8.4879,,,
Wickie,USA,Thor-Able 119,23 July 1958,mouse,"The third and final launch for Project Mouse-in-Able had a succesful flight, with its passenger Wickie the mouse surviving splashdown.  Unfortunately, as with the previous mission, Wickie's capsule was lost at sea.","Wickie the mouse, initially presented as Mia-III to the press, was named after Wickie Wilson, Reuters' first Cape Canaveral reporter, by her colleagues.  He was also nicknamed Benji by researchers.||Like his predecessor Laska, he had one electrode implanted above his right pectoral muscle and another implanted across his heart.  His 'Mouse House' life support system was supplied with two weeks' worth of food and water to help ensure his survival after splashdown if recovery was delayed.||Wickie's rocket flight was successful, but like Laska, the nosecone containing him was lost at sea.  The Recovery search was called off after only two days.||In the included photo, Wickie is held by Captain M.E. Griffith, a Thor-Able project officer.",1,mouse,,https://www.nasa.gov/people/mercer-livermore/,,,
12 pregnant mice,USA,Bioflight 3 (Jupiter AM-23),16 September 1959,mouse,"The third and final Bioflight mission was intended to carry a dozen pregnant mice, two frogs, and several insect pupae (probably fruit flies) to apogee of 500 km.  The Jupiter IRBM (intermediate range ballistic missile) carrying the animal passengers was immediately erratic at takeoff, swinging back and forth, due to the failure of a single soldered connection joint.  The range safety officer triggered the rocket's flight termination system, detonating it in mid-air to prevent an even deadlier crash.",,2,mouse,,http://www.astronautix.com/j/jupiterirbm.html,,,
two frogs,USA,Bioflight 3 (Jupiter AM-23),16 September 1959,amphibian,"The third and final Bioflight mission was intended to carry a dozen pregnant mice, two frogs, and several insect pupae (probably fruit flies) to apogee of 500 km.  The Jupiter IRBM (intermediate range ballistic missile) carrying the animal passengers was immediately erratic at takeoff, swinging back and forth, due to the failure of a single soldered connection joint.  The range safety officer triggered the rocket's flight termination system, detonating it in mid-air to prevent an even deadlier crash.",,2,amphibian,,http://www.astronautix.com/j/jupiterirbm.html,,,
insect pupae,USA,Bioflight 3 (Jupiter AM-23),16 September 1959,bug,"The third and final Bioflight mission was intended to carry a dozen pregnant mice, two frogs, and several insect pupae (probably fruit flies) to apogee of 500 km.  The Jupiter IRBM (intermediate range ballistic missile) carrying the animal passengers was immediately erratic at takeoff, swinging back and forth, due to the failure of a single soldered connection joint.  The range safety officer triggered the rocket's flight termination system, detonating it in mid-air to prevent an even deadlier crash.",,2,bug,,http://www.astronautix.com/j/jupiterirbm.html,,,
Arabella,USA,Skylab 3,29 July 1973,spider,"Skylab 3 was the second crewed mission to Skylab, the first American space station.  Crew members Alan L. Bean, Owen K. Garriott, and Jack R. Lousma took off from Launch Complex 39B at Kennedy Space Center atop a Saturn IB rocket on 29 July 1973 and returned two months later on 25 September.  Alongside them in their Apollo spacecraft were two animal experiments.  The one examining the effects of microgravity on the circadian rhythms of little pocket mice and fruit flies failed after only 30 hours when its power went out, killing its animals.  The experiment ""Web Formation in Zero Gravity"" was successful, but its two spiders, Arabella and Anita, died before returning to Earth.  ","Arabella, like her companion Anita, was a common cross spider (Araneus diadematus).  Arabella was launched in a vial, which astronaut Owen Garriott opened and placed in an illuminated cage aboard Skylab on 5 August 1973.  He assumed that Arabella would want to leave the cramped vial and explore the new space, but she stayed put, so he eventually shook her loose.||Arabella then moved around chaotically in a 'swimming motion' before eventually grabbing the cage's screen cover.  She made a crude web in the corners of the cage the next day and a full (but still malformed) web the next day.  The experiment was supposed to stop here, but Garriott requested that it be extended.||Arabella was then fed rare filet mignon and given water.  She made a new web but, when Garriott removed half of it on 13 August, she ate the remaining half and 'refused to rebuild' until she was given more water.  Garriott removed her entire web on 21 August, which she replaced with her best web of all, having clearly acclimated to microgravity.||Arabella was placed back in her launch vial on 26 August.  After returning to Earth, she was found to have died and showed signs of dehydration.||Her body is now part of the collection of the National Air and Space Museum, inventory number A19740484001.",2,bug,,https://archive.org/details/NASA_NTRS_Archive_19770022245/page/n51/mode/2up,,,
Anita,USA,Skylab 3,29 July 1973,spider,"Skylab 3 was the second crewed mission to Skylab, the first American space station.  Crew members Alan L. Bean, Owen K. Garriott, and Jack R. Lousma took off from Launch Complex 39B at Kennedy Space Center atop a Saturn IB rocket on 29 July 1973 and returned two months later on 25 September.  Alongside them in their Apollo spacecraft were two animal experiments.  The one examining the effects of microgravity on the circadian rhythms of little pocket mice and fruit flies failed after only 30 hours when its power went out, killing its animals.  The experiment ""Web Formation in Zero Gravity"" was successful, but its two spiders, Arabella and Anita, died before returning to Earth.  ","Anita, like her companion Arabella, was a common cross spider (Araneus diadematus).  Astronaut Owen Garriott fed her some rare filet mignon, apparently improvising, and placed her in an illuminated cage on 26 August after removing Arabella from it.  Garriott tried shaking the vial to dislodge her and had to carefully pick her up after she grabbed onto his arm.  She then made swimming motions before grabbing onto the side of the cage.  While Arabella took a few days to build decent webs, Anita built a good web almost immediately, presumably due to her longer period of acclimation to microgravity.||She was found dead in the cage on 19 September.  When examined on Earth, her body showed signs of dehydration.||Her body is now part of the collection of the National Air and Space Museum, inventory number A19740484000.",2,bug,,https://archive.org/details/NASA_NTRS_Archive_19770022245/page/n51/mode/2up,,,
6 little pocket mice,USA,Skylab 3,29 July 1973,mouse,"Skylab 3 was the second crewed mission to Skylab, the first American space station.  Crew members Alan L. Bean, Owen K. Garriott, and Jack R. Lousma took off from Launch Complex 39B at Kennedy Space Center atop a Saturn IB rocket on 29 July 1973 and returned two months later on 25 September.  Alongside them in their Apollo spacecraft were two animal experiments.  The one examining the effects of microgravity on the circadian rhythms of little pocket mice and fruit flies failed after only 30 hours when its power went out, killing its animals.  The experiment ""Web Formation in Zero Gravity"" was successful, but its two spiders, Arabella and Anita, died before returning to Earth.  ",,2,mouse,,,,,
fruit flies (Drosophila melanogaster),USA,Skylab 3,29 July 1973,bug,"Skylab 3 was the second crewed mission to Skylab, the first American space station.  Crew members Alan L. Bean, Owen K. Garriott, and Jack R. Lousma took off from Launch Complex 39B at Kennedy Space Center atop a Saturn IB rocket on 29 July 1973 and returned two months later on 25 September.  Alongside them in their Apollo spacecraft were two animal experiments.  The one examining the effects of microgravity on the circadian rhythms of little pocket mice and fruit flies failed after only 30 hours when its power went out, killing its animals.  The experiment ""Web Formation in Zero Gravity"" was successful, but its two spiders, Arabella and Anita, died before returning to Earth.  ",,2,bug,,,,,
Hector,France,Veronique AGI24,22 February 1961,Wistar Rat,"AGI24 was France's first biological spaceflight, with AGI being an abbreviation of Année géophysique internationale (French for International Geophysical Year).  The Veronique AGI was an upgraded version of earlier rockets in the Veronique sounding rocket family.  After AGI24 launched from Launch Complex Blandine, the motor burn was shorter and less powerful than expected, resulting in the rocket having an apogee of only 111 km.  The rocket's occupant, a Wistar rat named Hector, was successfully recovered after his capsule parachuted to the ground.  He was killed six months later for dissection.","As with other early biological spaceflight missions, Hector's mission was intended to reveal the effects of microgravity on a model organism (in this case, a Wistar rat).  The program was conducted by the Centre d'Enseignement et de Recherches de Medecine Aeronatique (CERMA) under Robert Grandpierre.  ||The researchers first tried using frogs but switched to rats which they found easier to attach electrodes to.  Hector and the other candidate rats had electrodes surgically attached to their skulls in order to measure brain activity.  Other electrodes measured the activity of the diaphragm and neck muscles, heartrate, respiratory rate, and body temperature.To train the rats for weightlessness, they were hung by their tails for increasing periods.  They were also placed in centrifuges to acclimatize them to the strong acceleration of a rocket flight.||Hector was chosen after AGI24's first intended passenger chewed through some of the electrode wires in their capsule.  He was fitted in a linen vest and suspended within the center of a tube that was installed into the rocket's capsule.||While Hector survived his eight minute rocket flight, he was killed and dissected six months later.",1,mouse,,,,,
Castor,France,Veronique AGI37,15 October 1962,Wistar Rat,"AGI37 reached an apogee of 120 km, but went off course.  Its capsule, carrying Castor the Wistar rat, successfully parachuted to the ground, but it took 75 minutes for recovery crews to reach it.  In the intervening time, Castor died of hyperthermia as the capsule baked in the desert sun.","Castor the Wistar rat experienced 6 minutes of microgravity during his brief spaceflight aboard a Veronique AGI rocket.  Castor's rocket flew off course and the capsule landed 60 km away from the intended recovery site.  This delayed recovery crews, and by the time the capsule was reached 75 minutes, Castor had died of hyperthermia.||The included photograph features a rat from the program of unknown identity.  No definitive photographs of Castor are known.",1,mouse,,,,,
Pollux,France,Veronique AGI36,18 October 1962,Wistar Rat,"Like the previous biological Veronique rocket flight, AGI36 flew off course after launching (for whatever reason, AGI36 flew after AGI37).  One guiding cable connected to the rocket was prematurely detached during launch, resulting in a skewed trajectory.  The rocket's passenger, a Wistar rat named Pollux, ultimately landed 142 km away in their capsule, but the capsule was never found.","Pollux the Wistar rat was never found after their rocket went off course, resulting in the capsule landing far away from the intended recovery site.||The included photograph shows an unspecified rat and cat from the same program.  The rat is suspended in the same harness that Pollux would have worn.  No definitive photographs of Pollux are known.",1,mouse,,,,,
Félicette,France,Veronique AGI47,18 October 1963,Cat,"Félicette the cat was launched aboard a Veronique AGI rocket exactly one year after Pollux the rat.  She survived her 13-minute flight and is to date the only cat to have entered outer space, reaching an apogee of 156 km.  After being shown off to the press, Félicette was killed two months later and dissected.","Félicette was a female black-and-white stray cat plucked from the streets of Paris by a pet dealer and sold to the French government along with 13 other candidate space cats.  Following trials in a centrifuge, a compression chamber, and noisy environments meant to mimic the cacophany of a rocket launch, Félicette was chosen for her cool demeanor.||During a 10-hour operation, nine electrodes were implanted in her brain.  They penetrated her left and right associative cortex, right hippocampus, and midbrain.  She experienced up to 9.5 g's of acceleration during the launch.||Prior to the flight, the cat was only known by the identifier C341 and was dubbed 'Félix' by the French media after the cartoon character Felix the Cat.  CERMA decided to make the name official, but changed it to the female version Félicette to match the sex of C341.||Félicette was killed two months after her spaceflight in order to dissect her brain.||The included commemorative photograph was released by CERMA.  It's inscription is written as if by Félicette and says 'Thank you for your participation in my success of 18 October 1963' along with a paw print and signature.  An implanted electrode is visible on her forehead.",1,mammal,,,,,
C333,France,Veronique AGI50,24 October 1963,Cat,"A second cat, known only as C333, was launched aboard a Veronique AGI rocket just 6 days after Félicette.  The rocket malfunctioned and exploded at an altitude of 89 km.  The rocket's nose cone, containing C333's body, was found 2 days later.","The cat only known by the identifier C333 died when their rocket exploded.  Of the program's remaining 12 cats, one was adopted by the science team and named Scoubidou after a health issue following electrode implantation disqualified her from participating in spaceflight.  No more launches were conducted after C333's demise and 9 of the 10 remaining cats were killed at the conclusion of the program.  The fate of the tenth cat is unknown.||The included photograph shows one of the program's candidates, possibly C333, in full flight restraints.  No definitive photograph of C333 is known.",1,mammal,,,,,
fruit flies (Drosophila melanogaster),China,Chang'e 4,16 January 2019,Fruit Flies (Drosophila melanogaster),"The Chang'e 4 (Chinese: 嫦娥四号; pinyin: Cháng'é Sìhào), named after the Chinese Moon goddess, landed in the Moon's Von Karman Crater on 3 January 2019, carrying a ""lunar micro ecosystem"" cylinder containing seeds of potato, cottonseed, and rapeseed plants along with yeast and fruit fly eggs.  The Chinese National Space Administration announced that at least some of all three kinds of plant had successfully sprouted.  The experiment was ended after nine days due to a heating failure.",,2,bug,,,,,
30 Wistar rats,USSR,Cosmos 782 / Bion 3,15 December 1975,Wistar Rat,"The Cosmos 782 biosatellite launched aboard a Soyuz-U rocket from Plesetsk Cosmodrome on 25 November 1975 and orbited Earth for over 19 days before landing.  It carried several types of animal including tortoises, fruit flies, mummichog embryos, and 30 Wistar rats.  All rats were killed and dissected after recovery.",,2,mouse,,,,,
30 Wistar rats,USSR,Cosmos 936 / Bion 4,22 August 1977,Wistar Rat,"The Cosmos 936 biosatellite launched aboard a Soyuz-U rocket from Plesetsk Cosmodrome on 3 August 1977 and orbited Earth for 18 days, continuing experiments from Cosmos 782. The spacecraft included two centrifuges to create artificial gravity for some of its animal passengers, which inlcluded fruit flies and rats.  All 30 Wistar rats were killed and dissected after the spacecraft successfully landed on 22 August.",,2,mouse,,,,,
30 Wistar rats,USSR,Cosmos 1129 / Bion 5,14 October 1979,Wistar Rat,"The Cosmos 1129 biosatellite launched aboard a Soyuz-U rocket from Plesetsk Cosmodrome on 29 September 1979 and orbited Earth for 14 days.  It included rats, quail embryos, and plants as part of a radiation exposure experiment.  All 30 Wistar rats were killed after landing on 14 October and dissected.",,2,mouse,,,,,
Dezik,USSR,Suborbital Dog Flight #2 (R-1B) ,29 July 1951,Dog,"This mission flew week after the first flight of space dogs aboard an R-1V rocket, the first Soviet-produced ballistic missile (based directly upon the Nazi V-2).  During that mission, dogs Tsygan and Dezik successfully returned from an apogee of 110 km.  Dezik flew again aboard the slightly different R-1B rocket with a new dog Lisa, but the rocket's barometric altimeter was damaged by vibrations during launch.  This prevented the recovery parachute from deploying, so Dezik and Lisa died when their capsule impacted the ground.  Tsygan was then removed from the program to ensure her survival, becoming a pet of engineer Anatoli Blagonravov.","Along with her partner Tsygan (Цыган, meaning 'Gypsy'), Dezik (Russian: Дезик) was the first dog in space and the first survivor of a space mission.  During his ill-fated 29 July flight one week later, she became the first animal to fly in space twice.||Dezik and the other space dog candidates were all female, were between 6 and 7 kg in mass, and had light-colored fur to help the in-flight video camera record them with sufficient contrast.  The early space suits used were better able to collect urine from female dogs.||The candidate dogs were strays collected from Moscow pounds.  They were first trained to stay in a capsule for increasing periods of time, starting with 1 hour, until they would obediently remain in the capsule for several days.  They were then exposed to up to 10 g's of acceleration in centrifuges, exposed to brief bouts of simulated microgravity in parabolic airplane flights, held on vibration tables, and placed in pressure chambers to acclimatize them to changing pressure.||Along with a dog named Tsygan, Physician Vladimir Yazdovsky chose Dezik for the first biological test flight of the R-1 rocket (and the Soviet Union's first ever attempt at an animal spaceflight) because of their 'calmness and endurance'.  The dogs were fitted with sensors to measure their skin temperature, heartrate, and respiration rate before being placed in their capsule.  Yazdovsky petted them and told them 'Return with victory', a common phrase told to departing soldiers.  After a brief trip to an apogee of 110 km aboard an R-1V, the capsule safely parachuted back to Earth.  The hatch was opened and the dogs exited and ran around excitedly through the ecstatic recovery team and onlookers.  Sergei Korolev, the head of the Soviet space program, was present and thrilled by their safe return.  He gave them water to drink along with sugar and sausages as a tasty treat.||Dezik flew again just one week later on an R-1B with the dog Lisa, but the rocket's pressure sensor was damaged during the launch by vibrations, which resulted in the recovery parachute failing to deploy.  Dezik and Lisa were killed upon impacting the ground, crushing Korolev.||After the disaster, Tsygan was removed from the program to protect her.  Anatoly Blagonravov said 'Let the hero come and live with me', and adopted her.  Tsygan would go on to have two litters of puppies.||The photo above shows Tsygan (left) and Dezik (right) in harnesses.",2,dog,,,,,
Lisa,USSR,Suborbital Dog Flight #2 (R-1B) ,29 July 1951,Dog,"This mission flew week after the first flight of space dogs aboard an R-1V rocket, the first Soviet-produced ballistic missile (based directly upon the Nazi V-2).  During that mission, dogs Tsygan and Dezik successfully returned from an apogee of 110 km.  Dezik flew again aboard the slightly different R-1B rocket with a new dog Lisa, but the rocket's barometric altimeter was damaged by vibrations during launch.  This prevented the recovery parachute from deploying, so Dezik and Lisa died when their capsule impacted the ground.  Tsygan was then removed from the program to ensure her survival, becoming a pet of engineer Anatoli Blagonravov.","Lisa (Russian: Лиса, meaning 'Fox') was chosen along with veteran space dog Dezik for the second ever animal spaceflight.  Like her partner, she was a mutt, formerly living on the streets of Moscow, weighed between 6 and 7 kg, and had light-colored fur to maker her appear clearly on the flight's video camera.||The flight successfully made it to an apogee of 110 km, but the recovery parachute failed to deploy.  Lisa and her partner Dezik died on impact with the ground, making her one of the first martyrs of spaceflight.  Sergei Korolev, head of the Soviet space program, was greatly saddened by her death.  He would often visit the dogs during training to pet them.||The photo above shows Dezik (left) and Lisa (right) before their flight.",2,dog,,,,,
Mishka and Chizhik,USSR,Suborbital Dog Flight #5 (R-1B) ,28 August 1951,Dog,"The fifth flight of dogs aboard an R-1 rocket, this mission included Mishka and Chizhik, who had both previously flown on 15 August.  The dogs' capsule featured a new pressure regulator meant to vent excess gas, but it was damaged by vibrations during flight.  At a high altitude, the broken regulator depressurized the capsule, killing both dogs.","Mishka (Russian: Мишка, meaning 'little bear') and Chizhik (Russian: Чижик, meaning 'siskin', a type of songbird) flew on two space missions aboard R-1 rockets (specifically the R-1B variant).  Their first mission lasted for 18 minutes on 15 August 1951, which was the third Soviet space dog launch.  Their flight was successful and they were in good spirits after being freed from their capsule, sharing affection with the recovery crew and onlookers.  This inspired the program following the deaths of space dogs Dezik and Lisa just two weeks earlier on 29 July 1951.||Mishka and Chizhik were tapped for another R-1B flight on 28 August, just one month later.  This flight featured a new pressure regulator intended to prevent overpressurization of the dogs' capsule.  Unfortunately, the regulator was damaged from vibrations during flight and vented the capsule's atmosphere, causing both dogs to lose consciousness and die from oxygen deprivation.  The next mission did not fly with the same regulator, which was subsequently recalled.||The photo above is of Mishka.  There are no currently known photos of Chizhik.",2,dog,,,,,
Mishka,USSR,Suborbital Dog Flight #8 (R-1D) ,7 February 1954,Dog,"This was the second flight of the second phase of space dog missions (and the eighth space dog flight overall), which also took place at Kapustin Yar.  Rather than being retained in a capsule for the whole flight, each dog had its own pressurized suit and ejection system.  After reaching apogee around 110 km, the first dog was ejected at around 75 to 90 km and the second dog was ejected around 35 km in altitude.  The main parachute for each system would deploy at 3 to 4 km up.  This flight included dogs Mishka (Russian: Мишка, meaning 'little bear'), who shared her name with a previous space dog, and Damka (Russian: Дамка, meaning 'little lady').  Damka safely returned to Earth, but Mishka died during the mission.",,1,dog,,,,,
Ryzhik,USSR,Suborbital Dog Flight #9 (R-1D) ,7 July 1954,Dog,"During this flight aboard an R-1D rocket, the dog Damka (Russian: Дамка, meaning 'little lady') experienced her second spaceflight and again returned safely.  Her partner for the flight, Ryzhik (Russian: Рыжик, meaning 'ginger' or 'redhead') died during the mission.",,1,dog,,,,,
Bulba and Lisa,USSR,Suborbital Dog Flight #10 (R-1E) ,5 February 1955,Dog,"This was the second flight of Lisa, who shared her name with a previous space dog, and the only flight of Bulba.  During the flight, both dogs' ejection systems fell out of the rocket and they died upon impacting the ground.","Bulba (Russian: Бульба, meaning 'potato') flew with Lisa (Russian: Лиса, meaning 'Fox'), who shared her name with a previous space dog.  Lisa had previously flown Ryzhik on 24 June 1954 atop an R-1D rocket.||During Bulba and Lisa's flight atop 5 February 1955, their R-1E rocket veered off course after launch and its automatic stabilizers returned the rocket to level flight too harshly.  This jolt flung Bulba and Lisa's ejection systems against the interior wall of the rocket so hard that they broke through and fell back to Earth from an altitude of 40 km without their parachutes properly deploying.||Alexander Seryapin, a leading engineer for the program's capsules and spacesuits, was present for the launch.  He knew the dogs personally, having taken them for walks, and Lisa was his favorite.||Against his orders, Seryapin took Lisa's remains and buried her near their walking path.||The photo above shows Bulba.  There are no known photos of Lisa.",2,dog,,,,,
Rita,USSR,Suborbital Dog Flight #11 (R-1E) ,25 June 1955,Dog,"During this flight aboard an R-1E rocket, the dog Linda (Russian: Линда) survived, but Rita (Russian: Рита) unfortunately died.  The flight had an apogee near 110 km.",,1,dog,,,,,
Ryzhaya and Dzhoyna,USSR,Suborbital Dog Flight #17 (R-2A),24 May 1957,Dog,"This was the first flight of the third phase of space dog flights.  Following the high rate of deaths occurring with the second phase's individual ejection systems, the program returned to keeping the dogs in a single recoverable capsule.  These flights went to higher apogees, ranging from 212 to 450 km.  Some flights included mice, rats, and rabbits as well. Both dogs on this flight, Ryzhaya and Dzhoyna, died during the flight when their capsule depressurized.  The flight had an apogee of 212 km.","Ryzhaya (Russian: Рыжая, meaning 'read-haired' or 'ginger') and Dzhoyna (Russian: Джойна) were the first dogs to fly aboard the third phase of space dog missions.  Both dogs lost consciousness and died of oxygen deprivation during flight when their capsule depressurized.",2,dog,,,,,
Palma and Pushok,USSR,Suborbital Dog Flight #21 (R-2A),21 February 1958,Dog,"This flight aboard an R-5A rocket reached an apogee of 473 km.  Both dogs, Palma and Pushok, died when their capsule depressurized.","Palma (Russian: Пальма, meaning 'palm tree') and Pushok (Russian: Пушок, meaning 'fluffy') flew for the only time on 21 February 1958.  During flight, their capsule depressurized and both dogs died of oxygen deprivation after losing consciousness.",2,dog,,,,,
Zhulba and Knopka,USSR,Suborbital Dog Flight #25 (R-5A),31 October 1958,Dog,"This flight aboard an R-5A rocket achieved an apogee of 415 km.  Unfortunately, the recovery parachute failed and both dogs aboard, Zhulba (Russian: Жульба) and Knopka (Russian: Кнопка, meaning 'button'), died when their capsule impacted the ground.  They were the final canine casualties of the program.",,2,dog,,,,,
Lisichka and Chayka,USSR,Sputnik 5-1 (Vostok 1K launch),28 July 1960,Dog,"This flight, intended to be the fifth Sputnik mission was the first flight of the Vostok 1K rocket (a derivative of the R-7 ICBM) and featured the first Vostok orbital spacecraft with a recovery system, which held dogs Pcholka and Mushka.  19 seconds after launch, a side booster broke away from the first stage and the rocket fell to the ground and exploded.","Dogs Lisichka (Russian: Лисичка, meaning 'little fox') and Chayka (Russian: Чайка, meaning 'seagull') were intended to be the first beings to return from Earth orbit as part of the Vostok program (which on 12 April 1961 resulted in Yuri Gagarin becoming both the first human in space and to orbit Earth).  The dogs' mission was the second test of the Vostok spacecraft (the first featuring a recovery system).||Engineer Boris Evseevich Chertok recalls seeing Sergei Korolev, the head of the Soviet space program, with the dogs immediately before launch.  Chertok said 'The affectionate red-haired Lisichka was very much liked by Korolev.  In the MIK (assembly and test complex), the medics were preparing to fit her into the ejection capsule of the descent vehicle.  With engineer Shevelev, we were sorting out another issue regarding the connection of electrical circuits to the dog container of the catapult and descent vehicle.  Lisichka was completely unresponsive to our arguments and the general test commotion.  Korolev approached.  I was about to report, but he waved it off, and without asking the medics, took Lisichka in his arms.  She trustingly nestled against him.  Korolev carefully stroked the dog and, not embarrassed by those around, said 'I really want you to come back.'  Korolev's face was unusually sad.  He held her for a few more seconds, then handed her to someone in a white coat and, without looking back, slowly wandered into the noisy hall of the MIK.'  Other contemporaries agreed that Lisichka was Korolev's favorite of the space dogs.||18 seconds into the flight, a side booster broke away from the rocket's first stage.  With insufficient thrust to continue upward, the rocket fell to the ground and exploded at 38 seconds after launch.  To prevent a repeat of this disaster, Soviet engineers developed a launch escape system that would carry the crew capsule away from a doomed rocket.  The resulting system would go on to save four human  and two dog astronauts.  When the third stage of the rocket carrying Vasily Lazarev and Oleg Makarov for the Soyuz-18-1 mission failed, they were carried to safety, as were dogs Kometa and Shutka during the Soyuz-7-1 mission which suffered a similar problem.  Vladimir Titov and Gennady Strekalov were saved when their rocket for the Soyuz T-10-1 mission exploded immediately at launch.",2,dog,,,,,
mice,USSR,Sputnik 7-1,22 December 1960,Mouse,"When the third stage of this mission's Vostok 1K rocket failed in-flight, the Vostok spacecraft was ejected from the doomed rocket and landed in the wilderness of Yakutia.  Rescuers reached the capsule before its self destruct system was scheduled to detonate, which was on a 60 hour timer, extracting the unharmed dogs Kometa and Shutka after they had spent three nights in the capsule.  Unfortunately, the mice onboard had died.",,2,mouse,,,,,
Pcholka and Mushka,USSR,Sputnik 6,2 December 1960,Dog,"This flight launched aboard a Vostok-L rocket and was the first test of the orbital Vostok spacecraft.  The vehicle launched successfully, carrying dogs Pcholka and Mushka into orbit along with numerous rodents.  The spacecraft orbited for over 25 hours before re-entering the atmosphere off-course.  To prevent it from landing in China and revealing Soviet space technology to foreigners, the spacecraft's self-destruct system was activated, detonating the spacecraft and killing everyone onboard.","Dogs Pcholka (Russian: Пчёлка, meaning 'little bee') and Mushka (Russian: Мушка, meaning 'little fly') orbited Earth 17 times aboard their Vostok spacecraft.  At the beginning of procedures for atmospheric re-entry, the spacecraft's stabilization system malfunctioned and the deorbit burn was shorter than intended.  This resulted in a trajectory that would land the craft in China instead of the USSR.||The spacecraft had an automatic self-destruct system programmed to detonate if it was heading toward foreign territory.  It was deemed more valuable to prevent the spacecraft's design from being revealed to foreigners than to save the lives of the animal astronauts aboard.  As programmed, the spacecraft self-destructed, killing Pcholka, Mushka, and the guinea pigs, mice, and rats that had ridden along with them.||Pcholka and Muska were the final space dogs to die for the Soviet space program and, along with Laika, were the only dogs to be killed intentionally.",2,dog,,,,,
"two guinea pigs, 2 white rats, 5 white mixed-breed mice, 14 black C57 mice, 7 hybrid SBA-C57 mice",USSR,Sputnik 6,2 December 1960,Mouse,"This flight launched aboard a Vostok-L rocket on 1 December 1960and was the first test of the orbital Vostok spacecraft.  The vehicle launched successfully, carrying dogs Pcholka and Mushka into orbit along with numerous rodents.  The spacecraft orbited for over 25 hours before re-entering the atmosphere off-course.  To prevent it from landing in China and revealing Soviet space technology to foreigners, the spacecraft's self-destruct system was activated, causing an explosion that killed everyone onboard.",,2,mouse,,,,,
